study_hours_per_week,attendance_percent,previous_grade,absences,internet_access,extracurricular_activity,result
6,85.0,52.0,5,Yes,Yes,Fail
7,61.0,45.0,4,Yes,Yes,Fail
4,76.0,45.0,0,Yes,No,Fail
14,89.0,59.0,11,Yes,Yes,Pass
11,51.0,91.0,10,Yes,Yes,Fail
14,62.0,92.0,3,Yes,Yes,Pass
14,81.0,42.0,17,Yes,Yes,Fail
14,80.0,56.0,3,Yes,No,Pass
15,65.0,88.0,16,Yes,No,Pass
8,81.0,51.0,1,Yes,Yes,Pass
7,81.0,87.0,1,Yes,Yes,Pass
9,83.0,86.0,11,Yes,Yes,Pass
7,60.0,84.0,5,Yes,Yes,Fail
3,59.0,94.0,9,Yes,Yes,Fail
3,64.0,40.0,20,Yes,No,Fail
15,66.0,56.0,15,No,Yes,Fail
8,89.0,42.0,13,Yes,Yes,Fail
5,67.0,65.0,6,Yes,Yes,Fail
4,58.0,54.0,18,Yes,No,Fail
8,74.0,75.0,16,No,No,Fail
15,89.0,71.0,8,Yes,No,Pass
6,63.0,71.0,12,No,No,Fail
2,74.0,43.0,4,Yes,No,Fail
4,99.0,57.0,4,Yes,Yes,Pass
12,71.0,88.0,9,No,No,Pass
11,79.0,58.0,20,Yes,Yes,Fail
4,69.0,82.0,9,Yes,Yes,Fail
15,70.0,91.0,6,Yes,No,Pass
6,93.0,74.0,14,No,Yes,Fail
6,81.0,79.0,6,Yes,No,Pass
1,100.0,53.0,14,Yes,No,Fail
14,95.0,97.0,2,Yes,No,Pass
8,98.0,72.0,18,Yes,No,Fail
6,70.0,53.0,9,No,No,Fail
3,84.0,73.0,14,Yes,No,Fail
14,81.0,100.0,2,Yes,No,Pass
9,79.0,94.0,5,No,No,Pass
2,88.0,43.0,11,Yes,Yes,Fail
15,98.0,63.0,14,Yes,Yes,Pass
11,61.0,98.0,5,Yes,No,Pass
8,90.0,68.0,12,Yes,No,Fail
10,96.0,58.0,18,Yes,No,Fail
3,67.0,45.0,2,Yes,No,Fail
13,70.0,96.0,7,Yes,,Pass
12,62.0,72.0,7,Yes,Yes,Fail
5,70.0,88.0,19,Yes,Yes,Fail
6,57.0,79.0,14,Yes,Yes,Fail
10,95.0,58.0,3,Yes,Yes,Pass
6,89.0,92.0,18,Yes,No,Fail
4,95.0,40.0,20,No,No,Fail
3,56.0,44.0,2,Yes,No,Fail
4,72.0,66.0,12,Yes,Yes,Fail
1,93.0,55.0,7,Yes,Yes,Fail
4,81.0,45.0,15,Yes,Yes,Fail
1,60.0,79.0,12,Yes,No,Fail
12,71.0,52.0,2,Yes,Yes,Pass
15,71.0,87.0,15,Yes,Yes,Pass
1,92.0,74.0,8,No,Yes,Fail
10,74.0,58.0,13,Yes,Yes,Fail
14,71.0,51.0,12,Yes,No,Fail
6,77.0,55.0,20,Yes,Yes,Fail
5,78.0,98.0,6,Yes,Yes,Pass
14,62.0,82.0,14,Yes,Yes,Fail
11,67.0,49.0,6,Yes,Yes,Fail
15,51.0,64.0,5,Yes,No,Pass
4,78.0,59.0,1,Yes,No,Fail
13,70.0,70.0,8,Yes,No,Fail
11,64.0,43.0,16,Yes,No,Fail
3,76.0,83.0,4,Yes,Yes,Pass
1,99.0,62.0,11,Yes,No,Fail
6,80.0,41.0,0,Yes,Yes,Fail
2,64.0,95.0,9,Yes,Yes,Fail
8,100.0,61.0,10,Yes,,Fail
10,72.0,90.0,15,No,No,Fail
5,73.0,96.0,13,Yes,No,Fail
7,93.0,76.0,7,Yes,Yes,Pass
10,62.0,47.0,16,Yes,Yes,Fail
12,71.0,46.0,17,Yes,No,Fail
2,92.0,53.0,11,Yes,Yes,Fail
13,86.0,95.0,16,No,Yes,Fail
8,82.0,94.0,13,Yes,Yes,Pass
2,52.0,42.0,15,No,Yes,Fail
4,68.0,89.0,13,No,Yes,Fail
1,72.0,55.0,8,Yes,No,Fail
15,78.0,94.0,3,Yes,No,Pass
5,79.0,58.0,10,Yes,No,Fail
9,88.0,90.0,5,Yes,Yes,Pass
1,93.0,57.0,14,No,Yes,Fail
9,96.0,91.0,4,Yes,No,Pass
11,74.0,55.0,10,No,No,Fail
15,86.0,47.0,17,Yes,No,Fail
8,96.0,99.0,12,No,No,Fail
6,57.0,72.0,10,No,Yes,Fail
7,91.0,88.0,13,Yes,No,Pass
3,65.0,51.0,17,Yes,No,Fail
14,57.0,92.0,18,,Yes,Fail
15,50.0,50.0,14,No,No,Fail
1,93.0,44.0,8,No,No,Fail
5,54.0,66.0,7,Yes,Yes,Fail
14,52.0,51.0,19,Yes,Yes,Fail
12,50.0,56.0,0,Yes,Yes,Pass
12,53.0,45.0,3,No,No,Pass
2,89.0,72.0,13,Yes,Yes,Fail
14,84.0,44.0,1,Yes,Yes,Pass
5,81.0,96.0,15,Yes,Yes,Pass
8,91.0,67.0,2,Yes,No,Pass
11,83.0,53.0,7,Yes,No,Fail
9,92.0,44.0,5,Yes,No,Fail
2,74.0,93.0,15,Yes,Yes,Fail
12,59.0,95.0,15,Yes,No,Fail
3,70.0,98.0,6,Yes,No,Fail
3,95.0,72.0,12,Yes,No,Fail
1,88.0,89.0,12,Yes,Yes,Fail
8,76.0,87.0,4,Yes,Yes,Pass
6,76.0,80.0,19,No,No,Fail
12,51.0,58.0,17,Yes,Yes,Fail
13,90.0,61.0,14,No,No,Pass
8,97.0,44.0,17,Yes,No,Fail
11,62.0,98.0,1,Yes,No,Pass
9,58.0,41.0,9,Yes,No,Fail
5,85.0,69.0,12,Yes,No,Fail
14,71.0,86.0,17,Yes,Yes,Pass
12,91.0,78.0,14,Yes,Yes,Pass
14,75.0,43.0,11,Yes,No,Fail
3,61.0,72.0,14,Yes,No,Fail
5,66.0,52.0,12,Yes,Yes,Fail
5,63.0,59.0,17,Yes,Yes,Fail
5,63.0,93.0,14,Yes,No,Fail
3,83.0,46.0,10,Yes,No,Fail
11,69.0,54.0,18,Yes,No,Pass
14,60.0,62.0,2,Yes,No,Pass
10,65.0,53.0,6,Yes,No,Fail
14,100.0,62.0,20,No,No,Pass
4,80.0,58.0,13,No,No,Fail
9,55.0,93.0,13,Yes,No,Fail
13,68.0,68.0,12,Yes,No,Pass
10,86.0,95.0,11,Yes,No,Pass
9,53.0,59.0,8,Yes,No,Fail
2,96.0,68.0,0,Yes,Yes,Fail
8,53.0,63.0,18,Yes,Yes,Fail
8,69.0,57.0,10,Yes,Yes,Fail
7,59.0,49.0,18,Yes,Yes,Fail
8,73.0,80.0,17,Yes,Yes,Fail
14,84.0,96.0,11,Yes,Yes,Pass
3,75.0,47.0,0,Yes,Yes,Fail
13,86.0,65.0,18,Yes,No,Pass
6,87.0,68.0,19,Yes,No,Fail
1,70.0,49.0,16,Yes,Yes,Fail
7,89.0,56.0,4,Yes,No,Fail
15,88.0,41.0,2,Yes,No,Pass
15,70.0,45.0,1,Yes,No,Pass
1,59.0,97.0,2,No,No,Fail
9,87.0,44.0,7,Yes,Yes,Fail
1,95.0,67.0,15,No,Yes,Fail
1,53.0,80.0,5,Yes,Yes,Fail
15,94.0,44.0,12,Yes,Yes,Fail
7,69.0,57.0,15,Yes,No,Fail
2,66.0,65.0,15,Yes,Yes,Fail
14,56.0,59.0,2,Yes,Yes,Pass
5,53.0,80.0,12,Yes,Yes,Fail
8,78.0,88.0,13,Yes,Yes,Pass
8,63.0,66.0,7,No,No,Fail
3,52.0,88.0,11,Yes,No,Fail
7,73.0,51.0,20,Yes,Yes,Fail
3,86.0,46.0,7,Yes,Yes,Fail
6,65.0,98.0,20,Yes,Yes,Fail
6,53.0,42.0,8,Yes,Yes,Fail
3,73.0,49.0,0,No,No,Fail
7,83.0,73.0,5,No,Yes,Fail
3,79.0,64.0,18,Yes,No,Fail
8,67.0,74.0,10,Yes,No,Fail
10,68.0,55.0,10,Yes,Yes,Fail
4,80.0,41.0,12,No,Yes,Fail
15,68.0,99.0,10,Yes,No,Pass
15,98.0,63.0,17,Yes,No,Pass
13,95.0,49.0,14,Yes,No,Pass
1,68.0,77.0,0,Yes,No,Pass
4,71.0,61.0,20,Yes,No,Fail
14,73.0,65.0,6,Yes,Yes,Pass
7,94.0,82.0,12,No,No,Fail
11,61.0,94.0,11,No,No,Fail
4,79.0,78.0,17,Yes,No,Fail
13,87.0,66.0,18,Yes,No,Fail
6,80.0,68.0,14,No,No,Fail
9,85.0,86.0,7,No,Yes,Pass
1,68.0,77.0,18,Yes,Yes,Fail
13,97.0,59.0,9,Yes,No,Pass
5,94.0,66.0,6,Yes,No,Pass
11,85.0,80.0,17,Yes,No,Fail
7,79.0,93.0,15,Yes,No,Pass
1,98.0,59.0,19,Yes,No,Fail
14,82.0,83.0,5,Yes,Yes,Pass
4,67.0,58.0,8,No,Yes,Fail
6,98.0,59.0,20,Yes,No,Fail
2,77.0,74.0,12,Yes,No,Fail
10,96.0,86.0,20,Yes,No,Fail
5,60.0,41.0,7,Yes,No,Fail
11,94.0,69.0,15,Yes,No,Fail
10,82.0,92.0,12,Yes,Yes,Pass
1,66.0,73.0,12,Yes,Yes,Fail
6,55.0,61.0,16,No,No,Fail
6,53.0,42.0,19,Yes,,Fail
13,69.0,45.0,4,Yes,Yes,Pass
15,97.0,54.0,20,Yes,Yes,Fail
15,96.0,66.0,16,Yes,No,Pass
4,76.0,49.0,8,Yes,Yes,Fail
13,64.0,48.0,1,No,No,Pass
8,55.0,72.0,17,Yes,No,Fail
4,96.0,71.0,8,Yes,,Fail
8,63.0,87.0,5,No,No,Pass
15,60.0,45.0,10,Yes,Yes,Fail
13,88.0,80.0,5,No,No,Pass
8,58.0,98.0,5,Yes,No,Pass
5,75.0,75.0,12,Yes,No,Fail
13,65.0,98.0,10,Yes,No,Pass
15,54.0,99.0,13,Yes,No,Pass
4,59.0,41.0,1,Yes,Yes,Fail
12,99.0,68.0,7,Yes,Yes,Fail
13,52.0,43.0,2,Yes,No,Fail
2,62.0,40.0,20,No,Yes,Fail
11,92.0,58.0,2,Yes,Yes,Pass
15,98.0,65.0,0,No,No,Pass
3,79.0,64.0,18,Yes,Yes,Fail
3,94.0,49.0,17,Yes,Yes,Fail
4,55.0,92.0,16,Yes,No,Fail
4,66.0,54.0,19,Yes,No,Fail
10,94.0,98.0,12,No,Yes,Pass
11,100.0,61.0,2,Yes,No,Pass
11,68.0,90.0,0,Yes,No,Pass
5,91.0,87.0,3,Yes,Yes,Fail
4,84.0,60.0,12,Yes,Yes,Fail
11,95.0,98.0,16,Yes,Yes,Pass
14,75.0,95.0,10,Yes,No,Pass
10,100.0,61.0,1,Yes,Yes,Pass
8,54.0,75.0,15,Yes,No,Fail
6,78.0,73.0,1,Yes,No,Pass
6,86.0,69.0,18,Yes,No,Fail
8,69.0,64.0,18,Yes,No,Fail
7,98.0,84.0,15,No,No,Fail
15,70.0,67.0,18,Yes,Yes,Pass
10,59.0,40.0,8,Yes,Yes,Fail
14,54.0,88.0,0,Yes,No,Pass
11,85.0,84.0,9,Yes,Yes,Pass
12,55.0,43.0,18,No,No,Fail
10,75.0,46.0,0,Yes,No,Fail
13,53.0,88.0,1,Yes,No,Pass
8,88.0,48.0,15,Yes,Yes,Fail
14,88.0,75.0,11,Yes,No,Pass
2,99.0,58.0,7,Yes,Yes,Fail
9,84.0,40.0,17,Yes,No,Fail
1,50.0,49.0,1,Yes,Yes,Fail
15,73.0,75.0,12,Yes,No,Pass
8,85.0,48.0,5,Yes,Yes,Fail
12,55.0,84.0,20,Yes,No,Fail
11,90.0,85.0,5,Yes,Yes,Pass
12,95.0,81.0,8,,Yes,Pass
12,93.0,71.0,15,Yes,No,Fail
4,80.0,71.0,10,Yes,Yes,Fail
4,69.0,45.0,6,Yes,Yes,Fail
5,73.0,87.0,9,Yes,Yes,Fail
8,74.0,77.0,9,No,No,Fail
5,85.0,56.0,19,No,No,Fail
8,70.0,49.0,17,Yes,Yes,Fail
15,79.0,89.0,19,Yes,No,Pass
10,73.0,66.0,8,Yes,Yes,Fail
1,93.0,93.0,14,Yes,No,Fail
12,91.0,89.0,3,Yes,Yes,Pass
15,79.0,74.0,7,Yes,No,Pass
10,71.0,91.0,8,No,Yes,Pass
9,77.0,98.0,12,Yes,No,Fail
6,56.0,60.0,8,Yes,Yes,Fail
3,84.0,64.0,3,Yes,Yes,Pass
13,77.0,67.0,16,Yes,Yes,Fail
14,63.0,86.0,15,Yes,No,Fail
8,59.0,54.0,14,Yes,,Fail
9,65.0,43.0,2,Yes,No,Fail
6,65.0,68.0,19,Yes,No,Fail
11,80.0,98.0,4,Yes,No,Pass
7,91.0,48.0,4,Yes,No,Fail
1,74.0,66.0,19,Yes,Yes,Fail
14,62.0,65.0,14,Yes,No,Fail
5,55.0,58.0,17,Yes,Yes,Fail
5,93.0,95.0,14,No,No,Pass
10,58.0,67.0,1,Yes,No,Pass
14,94.0,56.0,12,No,No,Fail
4,85.0,82.0,3,No,No,Fail
6,92.0,96.0,9,Yes,No,Pass
7,69.0,80.0,12,Yes,No,Fail
9,67.0,81.0,9,No,Yes,Fail
1,92.0,89.0,8,Yes,Yes,Fail
15,70.0,59.0,7,Yes,No,Pass
6,53.0,84.0,2,No,No,Fail
7,99.0,79.0,15,Yes,Yes,Pass
3,82.0,78.0,13,Yes,Yes,Fail
8,76.0,88.0,8,Yes,Yes,Fail
15,56.0,92.0,20,Yes,Yes,Pass
5,55.0,62.0,10,Yes,No,Fail
15,64.0,86.0,2,Yes,No,Pass
9,67.0,71.0,4,Yes,No,Pass
5,81.0,91.0,9,Yes,No,Pass
9,60.0,86.0,12,Yes,No,Fail
10,69.0,72.0,3,Yes,Yes,Pass
4,73.0,96.0,12,Yes,Yes,Fail
9,64.0,85.0,11,Yes,No,Fail
5,97.0,44.0,4,Yes,Yes,Fail
10,56.0,82.0,9,Yes,Yes,Fail
9,70.0,87.0,8,No,Yes,Pass
3,91.0,73.0,19,Yes,Yes,Fail
15,75.0,79.0,6,Yes,Yes,Pass
4,93.0,50.0,1,Yes,No,Fail
9,63.0,100.0,6,No,,Pass
10,86.0,89.0,7,Yes,No,Pass
11,70.0,42.0,6,Yes,Yes,Pass
6,67.0,97.0,20,Yes,No,Fail
2,54.0,72.0,13,Yes,No,Fail
7,52.0,50.0,18,,No,Fail
2,72.0,55.0,4,Yes,No,Fail
11,75.0,57.0,17,Yes,Yes,Fail
2,86.0,69.0,19,No,Yes,Fail
11,73.0,87.0,11,Yes,Yes,Fail
1,98.0,94.0,16,Yes,Yes,Fail
11,68.0,49.0,12,Yes,Yes,Fail
11,100.0,57.0,1,No,No,Pass
12,74.0,77.0,12,Yes,No,Pass
11,70.0,58.0,6,No,No,Fail
3,61.0,75.0,9,No,No,Fail
6,90.0,98.0,5,Yes,No,Pass
8,82.0,52.0,2,Yes,No,Pass
9,99.0,95.0,2,Yes,No,Pass
7,53.0,85.0,17,Yes,Yes,Fail
4,91.0,42.0,10,Yes,Yes,Fail
6,56.0,49.0,19,Yes,No,Fail
5,71.0,77.0,4,No,No,Fail
8,82.0,40.0,18,Yes,No,Fail
1,66.0,94.0,18,No,No,Fail
1,73.0,95.0,14,Yes,No,Fail
13,83.0,66.0,15,Yes,Yes,Pass
15,77.0,85.0,8,No,Yes,Pass
11,92.0,47.0,3,Yes,Yes,Pass
6,90.0,90.0,14,Yes,No,Fail
10,88.0,85.0,11,Yes,Yes,Pass
12,71.0,81.0,2,Yes,Yes,Pass
2,,56.0,13,Yes,Yes,Fail
5,66.0,48.0,16,Yes,No,Fail
1,83.0,100.0,18,Yes,No,Fail
7,55.0,45.0,5,No,No,Fail
1,95.0,82.0,3,Yes,Yes,Fail
4,55.0,64.0,6,No,No,Fail
9,83.0,78.0,18,Yes,No,Fail
1,50.0,88.0,16,Yes,No,Fail
4,59.0,99.0,15,Yes,Yes,Fail
6,70.0,67.0,14,Yes,No,Fail
6,54.0,72.0,7,No,No,Fail
12,51.0,93.0,18,Yes,Yes,Fail
15,71.0,76.0,7,Yes,Yes,Pass
13,97.0,48.0,17,Yes,Yes,Fail
8,51.0,57.0,15,Yes,No,Fail
1,59.0,95.0,19,No,Yes,Fail
7,83.0,98.0,18,No,Yes,Pass
1,65.0,60.0,9,Yes,Yes,Fail
13,97.0,41.0,16,Yes,No,Fail
14,100.0,100.0,12,Yes,No,Pass
7,88.0,97.0,12,Yes,No,Fail
3,71.0,82.0,6,No,No,Fail
11,61.0,98.0,9,Yes,Yes,Pass
8,73.0,99.0,1,Yes,No,Pass
3,96.0,77.0,3,Yes,No,Pass
14,89.0,97.0,5,No,Yes,Pass
14,87.0,79.0,17,Yes,No,Pass
13,59.0,75.0,5,Yes,No,Pass
1,84.0,,16,Yes,No,Fail
13,100.0,99.0,13,Yes,Yes,Pass
13,98.0,82.0,10,Yes,No,Pass
14,81.0,76.0,18,Yes,No,Pass
8,56.0,54.0,1,Yes,Yes,Fail
3,70.0,67.0,2,Yes,Yes,Fail
2,69.0,57.0,10,,Yes,Fail
1,75.0,73.0,5,Yes,No,Fail
14,53.0,61.0,13,Yes,No,Fail
3,95.0,50.0,18,Yes,Yes,Fail
15,71.0,97.0,15,Yes,Yes,Pass
2,64.0,96.0,20,Yes,Yes,Fail
2,89.0,52.0,6,No,No,Fail
6,70.0,,7,Yes,Yes,Fail
12,64.0,61.0,18,Yes,No,Fail
1,71.0,46.0,19,Yes,No,Fail
2,77.0,100.0,15,Yes,No,Fail
14,63.0,82.0,6,Yes,Yes,Pass
6,76.0,93.0,8,Yes,Yes,Fail
3,90.0,63.0,12,Yes,No,Fail
15,89.0,43.0,0,Yes,Yes,Pass
4,77.0,67.0,7,Yes,Yes,Fail
1,75.0,54.0,3,Yes,No,Fail
8,98.0,,2,Yes,Yes,Pass
13,51.0,94.0,2,Yes,Yes,Pass
7,74.0,42.0,12,Yes,Yes,Fail
7,52.0,53.0,7,Yes,Yes,Fail
3,57.0,77.0,6,No,No,Fail
10,93.0,89.0,0,No,Yes,Pass
10,82.0,96.0,15,Yes,Yes,Pass
3,91.0,40.0,5,Yes,No,Fail
14,84.0,77.0,6,No,Yes,Pass
2,55.0,77.0,11,Yes,Yes,Fail
12,88.0,60.0,8,Yes,Yes,Pass
1,72.0,87.0,10,No,Yes,Fail
7,74.0,68.0,9,No,Yes,Fail
7,,44.0,20,Yes,Yes,Fail
12,92.0,88.0,0,Yes,No,Pass
2,68.0,49.0,17,Yes,Yes,Fail
7,54.0,67.0,3,Yes,No,Fail
13,100.0,60.0,4,Yes,No,Pass
8,60.0,89.0,8,Yes,No,Fail
1,61.0,46.0,16,Yes,Yes,Fail
9,59.0,42.0,2,Yes,Yes,Fail
7,57.0,84.0,15,Yes,No,Fail
3,73.0,86.0,4,Yes,No,Fail
8,77.0,59.0,15,Yes,No,Fail
7,90.0,58.0,2,Yes,Yes,Fail
11,85.0,74.0,19,No,No,Fail
15,86.0,43.0,14,Yes,Yes,Pass
13,70.0,44.0,2,Yes,Yes,Pass
8,57.0,40.0,19,No,Yes,Fail
6,58.0,43.0,13,Yes,Yes,Fail
9,96.0,51.0,15,Yes,No,Fail
15,64.0,99.0,16,No,No,Fail
5,97.0,66.0,19,Yes,No,Fail
3,95.0,95.0,17,Yes,No,Fail
3,89.0,81.0,17,Yes,No,Fail
1,67.0,62.0,13,Yes,No,Fail
12,91.0,64.0,17,Yes,Yes,Fail
15,69.0,60.0,14,No,No,Fail
8,55.0,100.0,14,Yes,Yes,Fail
2,61.0,97.0,5,Yes,Yes,Fail
3,51.0,91.0,14,Yes,Yes,Fail
8,56.0,63.0,17,Yes,Yes,Fail
14,65.0,64.0,3,Yes,No,Pass
8,52.0,84.0,7,Yes,No,Pass
14,94.0,94.0,14,Yes,Yes,Pass
11,52.0,85.0,2,Yes,No,Pass
4,,71.0,14,Yes,No,Fail
4,99.0,94.0,12,Yes,No,Fail
5,92.0,71.0,8,Yes,No,Fail
6,89.0,44.0,1,Yes,Yes,Pass
5,87.0,75.0,7,Yes,No,Fail
14,82.0,85.0,19,Yes,No,Pass
15,77.0,81.0,16,Yes,No,Fail
7,50.0,88.0,12,Yes,No,Fail
2,57.0,81.0,0,No,No,Fail
7,86.0,97.0,1,Yes,No,Pass
10,81.0,78.0,14,Yes,Yes,Pass
7,97.0,55.0,11,Yes,Yes,Fail
1,92.0,72.0,13,Yes,Yes,Fail
7,86.0,88.0,1,Yes,No,Pass
5,53.0,60.0,17,Yes,Yes,Fail
3,79.0,100.0,6,Yes,,Pass
13,55.0,48.0,5,No,No,Fail
3,95.0,45.0,13,No,No,Fail
4,68.0,90.0,7,Yes,No,Fail
13,81.0,84.0,1,Yes,No,Pass
12,58.0,74.0,16,Yes,No,Fail
2,61.0,78.0,4,Yes,No,Fail
2,60.0,61.0,13,Yes,No,Fail
1,95.0,80.0,19,Yes,Yes,Fail
15,65.0,93.0,20,Yes,Yes,Pass
5,50.0,44.0,20,Yes,Yes,Fail
4,94.0,81.0,2,Yes,No,Pass
11,70.0,62.0,4,Yes,No,Fail
10,79.0,56.0,15,Yes,No,Fail
15,62.0,51.0,17,Yes,Yes,Fail
2,83.0,62.0,16,Yes,No,Fail
3,53.0,55.0,10,Yes,No,Fail
7,77.0,42.0,16,No,Yes,Fail
7,87.0,69.0,15,Yes,No,Fail
12,80.0,96.0,1,Yes,No,Pass
4,76.0,61.0,3,Yes,No,Fail
5,54.0,48.0,20,Yes,No,Fail
5,74.0,68.0,6,Yes,Yes,Fail
6,52.0,86.0,1,Yes,Yes,Fail
14,82.0,76.0,5,Yes,No,Fail
9,53.0,62.0,16,Yes,No,Fail
2,74.0,52.0,6,Yes,Yes,Fail
5,69.0,71.0,4,Yes,No,Fail
12,83.0,85.0,4,Yes,No,Pass
3,75.0,91.0,19,Yes,No,Fail
4,54.0,86.0,15,Yes,Yes,Fail
10,84.0,87.0,18,Yes,No,Fail
6,77.0,62.0,8,Yes,No,Fail
12,78.0,84.0,4,Yes,No,Pass
8,58.0,56.0,7,Yes,Yes,Fail
1,87.0,94.0,8,No,Yes,Fail
10,99.0,79.0,4,Yes,No,Pass
14,55.0,60.0,9,Yes,Yes,Pass
8,68.0,41.0,1,Yes,Yes,Fail
11,93.0,76.0,8,Yes,Yes,Pass
14,60.0,45.0,10,No,No,Fail
7,51.0,83.0,3,Yes,No,Fail
1,96.0,57.0,1,No,Yes,Fail
2,93.0,69.0,5,Yes,Yes,Fail
3,93.0,61.0,13,Yes,No,Fail
1,58.0,93.0,0,Yes,No,Fail
14,70.0,72.0,17,No,Yes,Fail
9,73.0,69.0,6,Yes,Yes,Fail
8,83.0,56.0,0,Yes,No,Pass
2,71.0,82.0,0,No,No,Fail
13,52.0,71.0,0,Yes,No,Pass
9,61.0,81.0,3,Yes,No,Pass
7,77.0,90.0,3,Yes,Yes,Pass
9,79.0,53.0,17,Yes,No,Fail
6,75.0,97.0,10,Yes,Yes,Pass
6,97.0,49.0,0,Yes,No,Fail
11,70.0,86.0,9,Yes,Yes,Pass
14,77.0,99.0,8,Yes,No,Pass
4,75.0,90.0,3,Yes,No,Pass
10,82.0,75.0,5,Yes,Yes,Pass
10,70.0,73.0,15,Yes,No,Fail
13,84.0,48.0,1,Yes,Yes,Fail
13,83.0,81.0,17,Yes,Yes,Pass
2,90.0,67.0,9,Yes,Yes,Fail
7,100.0,50.0,16,Yes,Yes,Fail
5,96.0,53.0,12,Yes,Yes,Fail
11,67.0,78.0,17,Yes,No,Fail
6,60.0,94.0,12,Yes,Yes,Fail
2,72.0,86.0,16,Yes,No,Fail
5,97.0,93.0,4,Yes,Yes,Pass
10,71.0,58.0,10,Yes,No,Fail
4,66.0,93.0,6,Yes,No,Fail
9,54.0,54.0,9,Yes,No,Fail
6,93.0,67.0,16,No,No,Fail
2,60.0,63.0,14,Yes,No,Fail
1,79.0,47.0,17,Yes,No,Fail
5,64.0,82.0,18,Yes,No,Fail
9,76.0,100.0,1,Yes,Yes,Pass
6,84.0,48.0,3,Yes,No,Fail
10,82.0,86.0,2,Yes,No,Pass
12,69.0,72.0,6,Yes,No,Pass
7,65.0,72.0,17,Yes,No,Fail
5,83.0,58.0,9,Yes,No,Fail
10,51.0,42.0,6,Yes,No,Fail
6,84.0,49.0,7,Yes,Yes,Fail
5,89.0,79.0,5,Yes,Yes,Pass
11,77.0,86.0,0,Yes,Yes,Pass
9,96.0,81.0,3,Yes,No,Pass
15,88.0,,13,Yes,No,Pass
6,55.0,68.0,16,No,No,Fail
11,58.0,89.0,19,No,No,Fail
8,69.0,73.0,17,Yes,No,Fail
2,50.0,90.0,10,Yes,No,Fail
12,57.0,52.0,20,Yes,No,Fail
13,72.0,93.0,13,Yes,No,Pass
9,52.0,40.0,8,Yes,No,Fail
5,53.0,73.0,14,Yes,Yes,Fail
7,74.0,68.0,11,No,No,Fail
10,96.0,87.0,9,Yes,Yes,Pass
13,87.0,86.0,18,Yes,Yes,Pass
1,64.0,52.0,18,Yes,No,Fail
10,70.0,87.0,5,Yes,No,Fail
5,84.0,88.0,19,Yes,No,Fail
12,95.0,92.0,5,Yes,Yes,Pass
14,63.0,100.0,7,,No,Pass
10,85.0,68.0,0,Yes,Yes,Pass
14,61.0,78.0,16,No,Yes,Fail
2,66.0,63.0,16,Yes,Yes,Fail
12,88.0,65.0,14,Yes,Yes,Pass
6,58.0,56.0,6,Yes,Yes,Fail
11,84.0,46.0,18,Yes,Yes,Fail
1,62.0,52.0,2,Yes,Yes,Fail
3,64.0,44.0,10,No,No,Fail
5,67.0,65.0,19,Yes,Yes,Fail
4,100.0,88.0,18,No,No,Fail
3,82.0,42.0,8,Yes,No,Fail
10,55.0,46.0,9,Yes,No,Fail
13,76.0,97.0,1,No,No,Pass
5,72.0,88.0,0,,No,Fail
11,76.0,78.0,15,Yes,No,Pass
8,83.0,92.0,17,Yes,Yes,Fail
11,95.0,40.0,16,Yes,No,Fail
4,87.0,88.0,5,Yes,No,Fail
1,63.0,56.0,13,No,Yes,Fail
11,85.0,82.0,14,Yes,Yes,Pass
7,57.0,64.0,13,Yes,Yes,Fail
8,84.0,98.0,2,No,No,Pass
3,68.0,100.0,18,Yes,Yes,Fail
6,79.0,42.0,11,Yes,No,Fail
2,63.0,54.0,1,Yes,Yes,Fail
7,69.0,68.0,2,Yes,No,Fail
15,98.0,92.0,17,Yes,Yes,Pass
8,74.0,82.0,0,No,Yes,Pass
6,89.0,71.0,19,Yes,No,Fail
6,73.0,65.0,20,Yes,Yes,Fail
5,63.0,99.0,5,Yes,Yes,Pass
8,75.0,55.0,4,Yes,Yes,Fail
1,87.0,64.0,0,Yes,No,Fail
10,72.0,93.0,18,Yes,No,Fail
4,71.0,67.0,0,Yes,No,Fail
15,97.0,48.0,20,Yes,No,Pass
4,68.0,95.0,20,Yes,Yes,Fail
3,95.0,95.0,15,Yes,No,Fail
3,100.0,40.0,11,Yes,No,Fail
4,52.0,68.0,7,Yes,Yes,Fail
11,91.0,96.0,15,Yes,Yes,Pass
1,68.0,61.0,0,Yes,Yes,Fail
14,58.0,55.0,3,Yes,No,Pass
11,77.0,80.0,9,Yes,Yes,Fail
13,69.0,90.0,10,Yes,No,Pass
11,94.0,83.0,16,Yes,Yes,Pass
2,56.0,90.0,6,Yes,Yes,Fail
9,63.0,93.0,11,Yes,Yes,Fail
10,58.0,80.0,20,Yes,No,Fail
2,68.0,46.0,6,Yes,Yes,Fail
5,96.0,53.0,11,No,Yes,Fail
9,63.0,68.0,14,No,Yes,Fail
9,87.0,58.0,1,Yes,Yes,Pass
8,85.0,58.0,13,Yes,Yes,Fail
1,89.0,41.0,12,Yes,No,Fail
1,66.0,80.0,3,Yes,No,Fail
9,79.0,84.0,13,Yes,No,Pass
13,58.0,54.0,13,Yes,Yes,Fail
11,82.0,42.0,15,Yes,Yes,Fail
8,74.0,50.0,6,Yes,Yes,Fail
10,63.0,92.0,18,No,No,Fail
